City,Compounded_polarity
Kolkata,4.574
Kolkata,8.074
Kolkata,8.074
Kolkata,2.235
Kolkata,6.239
Kolkata,6.472
Kolkata,-5.994
Kolkata,8.825
Kolkata,7.351
Kolkata,5.562
Kolkata,8.658
Kolkata,8.356
Kolkata,9.1
Kolkata,7.365
Kolkata,7.574
Kolkata,4.767
Kolkata,9.014
Kolkata,8.402
Kolkata,5.267
Kolkata,7.574
Kolkata,7.845
Kolkata,7.424
Kolkata,5.719
Kolkata,6.239
Kolkata,6.369
Kolkata,4.376
Kolkata,6.908
Kolkata,-2.96
Kolkata,8.092
Kolkata,6.896
Kolkata,6.808
Kolkata,5.994
Kolkata,5.859
Kolkata,8.313
Kolkata,5.859
Kolkata,4.404
Kolkata,8.439
Kolkata,5.994
Kolkata,9.488
Kolkata,7.579
Kolkata,3.612
Kolkata,5.994
Kolkata,4.019
Kolkata,-7.308
Kolkata,7.964
Kolkata,4.404
Kolkata,6.908
Kolkata,6.114
Kolkata,5.859
Kolkata,4.588
Kolkata,6.369
Kolkata,4.019
Kolkata,5.859
Kolkata,6.597
Kolkata,-1.511
Kolkata,2.714
Kolkata,8.313
Kolkata,9.286
Kolkata,6.124
Kolkata,8.176
Kolkata,-1.027
Kolkata,8.908
Kolkata,8.225
Kolkata,7.882
Kolkata,4.767
Kolkata,6.58
Kolkata,-4.215
Kolkata,6.981
Kolkata,5.106
Kolkata,8.388
Kolkata,9.389
Kolkata,1.28
Kolkata,8.619
Kolkata,5.267
Kolkata,5.859
Kolkata,7.088
Kolkata,-0.516
Kolkata,6.705
Kolkata,8.324
Kolkata,8.126
Kolkata,8.689
Kolkata,8.074
Kolkata,-3.382
